"","Top","p.value","FDR","summary.logFC","logFC.cap50","logFC.cap50_r16h","logFC.cap50_r4h","logFC.cap50_r8h"
"Cyb5rl",443,1,1,0.00672049624395391,0.00672049624395391,-0.0158437250052675,0.0128790970036295,-0.00578538394688508
"Cpt2",444,1,1,-0.0663675588645772,-0.0663675588645772,-0.0389623311168555,-0.0398934288860215,-0.122185556332546
"Scp2",445,1,1,-0.165883407921051,-0.165883407921051,-0.0936747337613157,-0.214421012066861,-0.214750231462381
"Gpx7",446,1,1,0.0196930049550251,0.0196930049550251,0.0170904988046158,0.0258649750563388,0.0151263274016886
"Txndc12",447,1,1,-0.115742765633678,-0.115742765633678,-0.192215983397268,-0.0952018103206059,-0.0924668483596826
"Cmpk1",448,1,1,0.0179465690817733,0.0179465690817733,0.00619907833498812,0.00454089726008777,0.0101862603946072
"Cyp4a29",449,1,1,0.000209694823997352,0.000209694823997352,0.000209694823997352,0.000209694823997352,0.000209694823997352
"Pomgnt1",451,1,1,-0.039572781460444,-0.039572781460444,0.00340964072155436,0.022769285454687,-0.104374915039592
"Urod",453,1,1,-0.00373860158844819,-0.00373860158844819,-0.0491696208406909,-0.0438550680216453,-0.0412444259309661
"B4galt2",454,1,1,-0.0277598466739364,-0.0277598466739364,-0.07427718361374,0.0105515750768553,-0.0596312453682633
"St3gal3",456,1,1,-0.0149556639235603,-0.0149556639235603,0.027249018599049,0.00497635473656877,-0.00043975888846115
"Elovl1",457,1,1,0.104717379152116,0.104717379152116,0.0283319099690091,0.0497529050693037,0.0338664800733393
"Ppcs",458,1,1,-0.00337728506481261,-0.00337728506481261,0.0116601508352233,0.0236320789249022,-0.110781351014175
"Rimkla",459,1,1,0.000822533782507801,0.000822533782507801,0.000451286528254735,0.000857459777751953,0.000658540890287337
"Zmpste24",461,1,1,0.372543280642928,0.372543280642928,0.199621968724935,0.3315321014282,0.297479438642798
"Ppt1",462,1,1,-0.0878032173349985,-0.0878032173349985,-0.0863462271369966,-0.0618226517191458,-0.0566500907827062
"Oxct2a",463,1,1,0,0,0,0,-0.0001802179205914
"Ndufs5",464,1,1,-0.170019242753038,-0.170019242753038,0.00752504912224117,-0.170422945564153,-0.0623574539352325
"Inpp5b",465,1,1,-0.0876524674379855,-0.0876524674379855,0.0142550427433591,-0.0697118679988492,-0.0355969770715284
"A3galt2",466,1,1,-0.00172150140480028,-0.00172150140480028,-0.000312673815093686,-0.00152156590300772,-0.00248593169651388
"Azin2",467,1,1,0.00644790924788215,0.00644790924788215,0.0150079399919287,0.0142814486284863,0.00617768301880559
"Mecr",469,1,1,-0.026222204238912,-0.026222204238912,-0.00390411650213096,-0.106075139890478,-0.0683010840038287
"Pigv",470,1,1,-0.0543727439265589,-0.0543727439265589,-0.00328526612926358,-0.039086822039277,-0.0475731457738168
"Dhdds",471,1,1,-0.0628193096665319,-0.0628193096665319,-0.0396727183991006,-0.0508914542735924,-0.0630350410835515
"Extl1",472,1,1,-0.111202071197342,-0.111202071197342,-0.00262203203777794,-0.105588005359148,-0.0594157227225695
"Pafah2",473,1,1,-0.0787896659377866,-0.0787896659377866,-0.0463618936352537,-0.0564387747682991,-0.0960537120137916
"Man1c1",474,1,1,-0.0180853045609426,-0.0180853045609426,-0.0114182904236805,-0.020344415549963,-0.0210055024847112
"Fuca1",475,1,1,-0.280926556157282,-0.280926556157282,-0.195799408501394,-0.252473268576695,-0.313534577597605
"Hmgcl",476,1,1,-0.0612449307508505,-0.0612449307508505,-0.011151093267921,-0.0681111365886088,-0.0794465492560633
"Gale",477,1,1,0.112417050563285,0.112417050563285,0.0225962771524659,0.172155756158596,0.018036015032851
"Lypla2",478,1,1,0.0321203041292355,0.0321203041292355,0.00384110854747333,0.011313753156185,0.0231255425991481
"Alpl",479,1,1,-0.00111388986542507,-0.00111388986542507,-0.0033506986375986,-0.00116353427365953,-0.00173204390988816
"Ddost",480,1,1,0.259057411163873,0.259057411163873,0.0398257751555355,0.0698806879844349,0.0633492403406342
"Cda",481,1,1,-0.146911648666867,-0.146911648666867,-0.0175883044471177,-0.211693608477287,-0.176777603220009
"Pla2g2f",482,1,1,0,0,-0.000159200936653605,0,0
"Pla2g2d",483,1,1,-0.00569119946373019,-0.00569119946373019,-0.00549716487580878,-0.00290193736603963,-0.00929546264767007
"Pla2g5",484,1,1,-0.052269375429807,-0.052269375429807,-0.0122047871950274,-0.0519651175237309,-0.0467729820527348
"Akr7a5",486,1,1,-0.237915249924607,-0.237915249924607,-0.0518948810028302,-0.228577594292597,-0.220337295361186
"Aldh4a1",487,1,1,-0.0218850318032214,-0.0218850318032214,0.00277103979557501,-0.00777212237829976,-0.0123512642076923
"Sdhb",488,1,1,0.073694106057594,0.073694106057594,0.147469761581743,0.12050382582994,0.17274524104259
"Agmat",489,1,1,-1.09719510099793e-05,-1.09719510099793e-05,0.000211043192982237,-0.000342573682977089,0.000476547116027496
"Prdm2",490,1,1,-0.0158764257885953,-0.0158764257885953,0.012414261003981,-0.0359055046820653,-0.0254543324908036
"Dhrs3",491,1,1,-0.000965531471499845,-0.000965531471499845,0.0136880033168565,-0.00795440252218597,0.00662560436041541
"Plod1",492,1,1,0.0127027996123955,0.0127027996123955,0.0723542596953652,0.0133844120161424,0.0209349208356593
"Mthfr",493,1,1,-0.0406598999824271,-0.0406598999824271,0.0300604786976247,-0.0352330104923425,-0.0188424910796663
"Nmnat1",495,1,1,0.00355809578291147,0.00355809578291147,-0.0024196548090446,0.0135282890369549,-0.0135838532585753
"Pik3cd",496,1,1,-0.00879281102236875,-0.00879281102236875,0.00116717446371603,-0.014328239409051,-0.00785974306510487
"H6pd",497,1,1,-0.0888776430912595,-0.0888776430912595,-0.0803368212449735,-0.028873581689757,-0.0792255433571283
"Eno1",499,1,1,0.308568273993234,0.308568273993234,0.113115633860849,0.00856514686174803,-0.0282651376359992
"Icmt",501,1,1,0.0657982509002289,0.0657982509002289,0.0158089552697588,0.0985866778214518,0.0738176581721444
"Prdm16",502,1,1,-0.0181721034742031,-0.0181721034742031,-0.00204328016164657,-0.0198050043536679,-0.0142413903928139
"Plch2",503,1,1,-0.000229128399267632,-0.000229128399267632,0.000448486051814439,0.000301638063737855,0.000600355797633789
"Nadk",504,1,1,-0.223678656459892,-0.223678656459892,-0.0760880652908831,-0.157255460487187,-0.179994085083555
"B3galt6",505,1,1,-0.0161791976431701,-0.0161791976431701,-0.0157380107273519,0.0282137844230361,-0.0106992826581034
"Kmt2e",506,1,1,0.112523036752559,0.112523036752559,0.285649820979866,0.112275973317246,0.16835813945827
"Nos3",507,1,1,-0.00279357221122202,-0.00279357221122202,0.00339932915861813,-0.00114173500866973,-0.00477079591829863
"Chpf2",508,1,1,-0.269264035422389,-0.269264035422389,-0.119110144692293,-0.205119772090266,-0.409736601679171
"Galnt11",509,1,1,0.0009504053534658,0.0009504053534658,0.0220411888414206,-0.0106929217223319,0.020906412125492
"Kmt2c",510,1,1,0.0661153741225629,0.0661153741225629,0.0992291216870776,0.0599252471601628,0.0904091531678658
"Hadha",512,1,1,0.152553011751589,0.152553011751589,0.205051427743421,0.204881505621128,0.206175501331209
"Hadhb",513,1,1,0.333605175313134,0.333605175313134,0.142454781989062,0.27339132034949,0.264477134495015
"Selenoi",514,1,1,0.129150225006661,0.129150225006661,0.0634784884575136,0.164878570463646,0.137673391391159
"Khk",515,1,1,-0.0275811758453505,-0.0275811758453505,-0.0416768335001104,-0.0353035581097197,-0.0434157477056926
"Cad",516,1,1,0.287325173503105,0.287325173503105,-0.00447932980823151,0.358819751834225,0.302451648495132
"Rbks",517,1,1,-0.00387285192754289,-0.00387285192754289,-0.000652941156469586,-0.00374632711007835,-0.00580052332492034
"Plb1",518,1,1,-0.0018587933662103,-0.0018587933662103,-0.00117344511651006,-0.00211915523617647,-0.00152514865591425
"Pisd",519,1,1,-0.0470209832338044,-0.0470209832338044,0.00742289506376254,-0.0471808178550118,-0.0289484831493478
"Nsd2",520,1,1,0.41779450620021,0.41779450620021,0.0253110946806718,0.401616782942869,0.307506507755922
"Nat8l",521,1,1,0.00384365677708037,0.00384365677708037,0.00391715021876818,0.00230936261570094,0.00301883783784511
"Acox3",522,1,1,-0.0407774385267637,-0.0407774385267637,-0.00358455073469129,-0.035900805237579,-0.0381839556657819
"Psapl1",523,1,1,0.000326182928205586,0.000326182928205586,0.000159093822619447,1.20560887971914e-05,0.000326182928205586
"Man2b2",524,1,1,-0.0183126605454158,-0.0183126605454158,-0.00664584398017545,-0.0192843674864802,-0.0240482759406244
"Hs3st1",525,1,1,0.00570947353704051,0.00570947353704051,0.00524329646658579,0.00585086872495463,0.0056454143931268
"Bst1",526,1,1,-0.00016070645811296,-0.00016070645811296,-0.000173849457246934,-0.000558059496325982,-0.000150039320858256
"Cd38",527,1,1,-0.00464843361456045,-0.00464843361456045,-0.001703396804077,-0.00152879226701152,-0.00696425737192022
