"","Top","p.value","FDR","summary.AUC","AUC.cap50","AUC.cap50_r16h","AUC.cap50_r4h","AUC.cap50_r8h"
"Fgd3",16508,1,1,0.477612543169139,0.477612543169139,0.483311766473649,0.479152337986707,0.484262586668073
"Bicd2",16509,1,1,0.446781391499141,0.446781391499141,0.499017959719522,0.45746422688669,0.476801000878275
"Ippk",16510,1,1,0.484104861359088,0.484104861359088,0.49050336889222,0.483872824862741,0.492481381349023
"Cenpp",16511,1,1,0.404612990004343,0.404612990004343,0.481603880852016,0.417181672882259,0.40605428353351
"Tes3-ps",16512,1,1,0.495106242177467,0.495106242177467,0.496425474448513,0.493629372880374,0.493978048629874
"Ecm2",16513,1,1,0.499297311329352,0.499297311329352,0.499208567034047,0.499056803367801,0.499104943464653
"Aspn",16514,1,1,0.497734502021685,0.497734502021685,0.497840366172484,0.497467306170927,0.49780606302128
"Omd",16515,1,1,0.499366267379312,0.499366267379312,0.499773830215144,0.499722969156185,0.499536768163701
"Ogn",16516,1,1,0.508600543331239,0.508600543331239,0.504591725099685,0.504323915564769,0.502026994762602
"Nol8",16517,1,1,0.462875574430418,0.462875574430418,0.517403380558215,0.472028543079605,0.489906839868226
"Iars",16518,1,1,0.618577406985184,0.618577406985184,0.389222340435254,0.599266941823872,0.581997847689197
"4933433N18Rik",16519,1,1,0.5,0.5,0.5,0.500131061598951,0.500117315814172
"Fbxw17",16520,1,1,0.519896472569177,0.519896472569177,0.506671175367869,0.505783887313558,0.518529492208155
"Spin1",16521,1,1,0.446689520823348,0.446689520823348,0.452887360780858,0.45075955677858,0.447870714847694
"Nxnl2",16522,1,1,0.499331152836947,0.499331152836947,0.499644912900172,0.499845651750409,0.499121568934322
"Gm32834",16523,1,1,0.499530303213543,0.499530303213543,0.500048491834072,0.499321579917201,0.499590582183947
"S1pr3",16524,1,1,0.492764149940581,0.492764149940581,0.493691276899662,0.492383519614901,0.493645664240015
"Shc3",16525,1,1,0.500330962518249,0.500330962518249,0.500843580503702,0.500126767359029,0.499850933288865
"Secisbp2",16527,1,1,0.558237839812762,0.558237839812762,0.517876713543898,0.554328698579968,0.548539777498714
"Sema4d",16528,1,1,0.485325489529607,0.485325489529607,0.499513388208313,0.483579734259865,0.488393390863292
"Gm26651",16529,1,1,0.497268571296418,0.497268571296418,0.499697194838791,0.49706396183084,0.497256922508061
"Gm48190",16530,1,1,0.499866808737347,0.499866808737347,0.500068651964645,0.499866808737347,0.499866808737347
"Diras2",16531,1,1,0.489342232482882,0.489342232482882,0.489953024207747,0.489075907498581,0.489999279979659
"Syk",16532,1,1,0.498505855005159,0.498505855005159,0.500545264331568,0.500768634033702,0.501406414731216
"Auh",16533,1,1,0.501316132299714,0.501316132299714,0.494179770303536,0.501671436880608,0.505672441496472
"Nfil3",16534,1,1,0.618437558811554,0.618437558811554,0.47812566696432,0.5979606549868,0.542224130331682
"Gm48336",16535,1,1,0.499532133201023,0.499532133201023,0.500145179820301,0.499327654695629,0.499403670653696
"Ror2",16536,1,1,0.491609958272042,0.491609958272042,0.497358270250045,0.49317104132176,0.493452346278782
"Sptlc1",16537,1,1,0.490268338755401,0.490268338755401,0.496569417780805,0.494031250894633,0.49625520670959
"Gm2762",16538,1,1,0.499866808737347,0.499866808737347,0.500169533258033,0.499997870336298,0.499866808737347
"Msx2",16539,1,1,0.497989639406537,0.497989639406537,0.495709171569162,0.498348393430581,0.49766596531352
"Gm48550",16540,1,1,0.499866808737347,0.499866808737347,0.499967716910909,0.499997870336298,0.499866808737347
"Drd1",16541,1,1,0.5,0.5,0.5,0.500131061598951,0.5
"Sfxn1",16542,1,1,0.46918998601147,0.46918998601147,0.515272589157505,0.455652616239489,0.446096602229013
"Hrh2",16543,1,1,0.500099561927519,0.500099561927519,0.5,0.5,0.5
"Gm48623",16544,1,1,0.484851787987941,0.484851787987941,0.493626979523221,0.485449369514807,0.484539031977653
"Gm48622",16545,1,1,0.499866808737347,0.499866808737347,0.499967716910909,0.499866808737347,0.499866808737347
"Cplx2",16546,1,1,0.500064023040232,0.500064023040232,0.51955145591087,0.493773002986417,0.479614455358364
