"","Top","p.value","FDR","summary.logFC","logFC.1","logFC.3","logFC.4","logFC.5"
"Cdc25a",534,3.13776259531233e-10,7.57037991185163e-09,0.682773160872522,0.0251383217787047,0.682773160872522,0.342587978700562,0.367170276610355
"Meox2",534,9.78884913103606e-06,0.000209409365953307,-0.768704505683324,0.00214442098895893,0.000654309369520669,0.00211507107772622,-0.768704505683324
"Cd28",535,1,1,-0.00196692112393671,-0.00196692112393671,-0.0332952431468982,-0.0148136632883441,0.00454807847156955
"Nkd2",535,1.0414653629472e-05,0.000222134549811562,-0.834509490687116,0.00138344701003628,-7.07475166205826e-05,0.00123390019213334,-0.834509490687116
"Rpl7l1",535,1,1,0.58122521252394,0.164729865347565,0.58122521252394,0.531306564761932,0.487077904035379
"2310016D23Rik",536,1,1,0,0,-0.000159431709028646,-0.000129774952203809,0
"Lamb1",536,1,1,0.522412053433938,0.354981360081002,0.486473518367665,0.522412053433938,-0.169764009893629
"Ctla4",537,1,1,0,0,0,-0.000103863401073439,0
"Eif4h",537,6.92919364294047e-10,1.66061443641116e-08,0.670996921389317,0.258178343610588,0.670996921389317,0.529485695904515,0.531197478360738
"Gm28083",538,1,1,0.000469413201882683,0.000469413201882683,0.000469413201882683,0.000469413201882683,0.000469413201882683
"Spag9",538,0.308469838247673,1,-0.608752536429546,-0.122872573599753,-0.608752536429546,-0.525465719124254,-0.516230785462664
"Gm11587",539,1,1,0,0,0,-0.000114815320673022,0
"Nusap1",539,9.1286834366743e-10,2.17081100818418e-08,0.67797467441736,-0.0513775224857967,0.67797467441736,0.0489215621568169,0.161339742593591
"Mrto4",539,1.21898459536136e-05,0.000259740272047246,0.763352365164915,0.288791336350127,0.619658526099887,0.469727025074489,0.763352365164915
"Tbpl1",539,1,1,-0.523483133988999,0.0136324231757079,-0.429393614048862,-0.523483133988999,0.0171323738630305
"Pard3b",540,1,1,-0.0126681727682172,-0.0126681727682172,-0.0402696154492729,-0.0686510879636546,-0.0755430323805485
"Ftl1",540,1.18660773380191e-09,2.80934928923552e-08,-0.643947123472039,-0.437991613236576,-0.643947123472039,-0.515330405784637,0.611924592008617
"Rbp1",540,1.33083141286285e-05,0.000283012083361871,-0.812754283582563,0.196063765823567,0.222733155580579,0.221723352367542,-0.812754283582563
"Larp4",540,0.00873915163377856,0.162133864060818,0.692473768535812,0.210459816742991,0.599615962142091,0.522368842786673,0.692473768535812
"Pard3bos1",541,1,1,0.000373023866797192,0.000373023866797192,0.00020326139102631,0.000242456604143737,0.00074390017977911
"Gpd2",541,1.35034020478665e-05,0.000286877310436461,0.746637325057336,0.29151297136986,0.411784808301919,0.411243914416583,0.746637325057336
"Dync1h1",541,1,1,-0.56958107678166,-0.177039845544182,-0.56958107678166,-0.51963448657029,-0.526874684993702
"Pard3bos3",542,1,1,0,0,-9.93377147286421e-05,0,-0.00106953599612149
"Rif1",542,1.4440252900537e-09,3.40755134509273e-08,0.689187883083728,0.00800585101275741,0.689187883083728,0.0678934565919376,0.349944141662318
"Naa20",542,0.74394596719656,1,0.598864454422718,0.100340559762202,0.598864454422718,0.525369850648133,0.424381068424467
"Pdgfrb",542,1.61724946154241e-05,0.000343242856625782,-0.766840884855466,0.00512792664712665,0.00190959518883506,0.00455378760359682,-0.766840884855466
"Ilf2",543,1.67632752952221e-09,3.951395921451e-08,0.685047171973545,0.106601717956235,0.685047171973545,0.379540287622798,0.521075517243274
"Kdelr1",543,1.67221139508979e-05,0.000354558240726379,-0.735019290984095,-0.139148984933908,-0.118806801718354,0.0197604014806438,-0.735019290984095
"Gm29083",544,1,1,0,0,-0.000461034399641132,-0.000782621709889841,-0.0158041561444489
"Nfe2l2",544,1,1,-0.559971935973998,-0.22044039658874,-0.559971935973998,-0.516828417503445,-0.0775493782260592
"Phb2",544,1.85221269536128e-05,0.000391566497218764,0.73748506411024,0.252691729720706,0.490828215659543,0.480054652435556,0.73748506411024
"Vrk1",544,1.85557868242196e-09,4.35959703323178e-08,0.677370559534748,0.120551561030329,0.677370559534748,0.245101006466111,0.398019083844709
"Gm4208",545,1,1,-0.0023375722082825,-0.0023375722082825,0.00109245372370046,0.00129371043296207,0.00129371043296207
"Srrt",545,2.88654739689853e-09,6.7596720923453e-08,0.684702223802906,-0.1340397391685,0.684702223802906,0.496618597692869,0.551192899074413
"Tnnt1",545,1,1,0.514410901547952,0.351443204926851,0.48486848859049,0.514410901547952,0.484029775741306
"Tmem158",545,2.06306327213093e-05,0.000435286124309115,0.736102600715647,0.22031310060271,0.241328781469713,0.379909323085823,0.736102600715647
"Ino80d",546,1,1,0.0466058947610745,0.0466058947610745,0.142458395529286,0.09861614433744,0.0495229629287975
"Agpat5",546,2.39067296481052e-05,0.000503914523757956,0.742447600966377,0.0125974116616723,0.345884964594233,0.186598737710309,0.742447600966377
"Dis3",546,3.86364553362552e-09,9.02817758188436e-08,0.682582382869315,0.0451367989235709,0.682582382869315,0.403234845352214,0.50410542779031
"Plin3",546,0.00024862369053515,0.00503825842185212,-0.639284017660222,-0.301459232299302,-0.639284017660222,-0.528581243841876,-0.538429550248544
"Ino80dos",547,1,1,0.00548210027675651,0.00548210027675651,0.0021010297471123,0.00633594503114522,-0.00338387407849718
"Ppp1r18",547,2.77160033795995e-05,0.000583065599933882,-0.752824571068307,-0.270380135633345,-0.223164492484299,-0.150254142361647,-0.752824571068307
"Gm20342",548,1,1,0.0175449497920887,0.0175449497920887,0.0175901723934889,0.0249531201101017,-0.0195922404350481
"Mthfd1l",548,1,1,-0.516598100047816,-0.162468387208214,-0.275073267580559,-0.516598100047816,0.103187504481246
"Six4",548,3.67037142670592e-05,0.000768385831460487,0.662263779745341,0.0982416282468558,0.254154328328257,0.188622862797945,0.662263779745341
"Ndufs1",549,1,1,0.460933411962345,-0.00905361772343682,0.0486077014981166,0.117224087551406,0.460933411962345
