"","Top","p.value","FDR","summary.AUC","AUC.cap50_r16h","AUC.cap50_r4h","AUC.cap50_r8h","AUC.control"
"Creg1",19,0,0,0.0968071598445794,0.319910677579699,0.493992383708276,0.530725133205543,0.0968071598445794
"Cryab",19,0,0,0.16978817444056,0.485425520243723,0.532482581229745,0.597961344556032,0.16978817444056
"Phf10",19,0,0,0.143442676642551,0.143442676642551,0.45008546928247,0.401755387510346,0.144032506306296
"Taldo1",20,0,0,0.094110262209093,0.40728982185749,0.528334306769741,0.558283183275615,0.094110262209093
"Srsf3",20,2.25121801942402e-108,2.64745699431828e-106,0.799784359514403,0.799784359514403,0.373331730947396,0.692060120827346,0.801115395933969
"Gal",20,0,0,0.850088269535336,0.850088269535336,0.498762770154701,0.584042414222097,0.741423432156901
"Lgals3",21,0,0,0.0942841375412224,0.204637576499929,0.62072412185858,0.5605449116333,0.0942841375412224
"Neat1",21,0,0,0.125699081738804,0.15496354888139,0.500681901337914,0.417549431959724,0.125699081738804
"Igfbp5",22,3.60513916222979e-218,7.05329090094051e-216,0.198300254585736,0.337761900111758,0.44838164239861,0.434583234986145,0.198300254585736
"Rrm2",22,0,0,0.862735145983304,0.862735145983304,0.459892775849173,0.586781114760936,0.855116284300065
"Cbr3",23,0,0,0.10473389648148,0.45943481376193,0.440411938453765,0.621579153087279,0.10473389648148
"Cenpa",24,0,0,0.835390758965295,0.835390758965295,0.474800106268983,0.530986979673295,0.784904279454895
"Sct",25,0,0,0.880802200737639,0.617513375054905,0.478270889867023,0.477894098439882,0.880802200737639
"Thbs1",26,0,0,0.89050415783764,0.76708338005008,0.493185162219393,0.558574837584642,0.89050415783764
"Ube2c",26,0,0,0.81288576479434,0.81288576479434,0.500375673380507,0.544226940644645,0.791220441458754
"Cdk1",27,0,0,0.835092816632046,0.835092816632046,0.486166476937908,0.56585330038212,0.767793366088518
"Gadd45g",27,4.60379217156316e-208,8.69107116879053e-206,0.795695344320896,0.715493985896968,0.508678616185768,0.609242280937129,0.795695344320896
"Sat1",28,0,0,0.164120553721044,0.164120553721044,0.547483027496838,0.398467554585259,0.170130700357956
"Hmmr",29,0,0,0.828820957715416,0.828820957715416,0.485047207751164,0.542263991511026,0.750801269300533
"Asns",30,0,0,0.161147982178114,0.161147982178114,0.557052690312037,0.505562456210973,0.169017298845124
