"","Top","p.value","FDR","summary.AUC","AUC.2","AUC.3","AUC.4","AUC.5"
"Gatad2a",11724,1,1,0.504732579577886,0.504732579577886,0.520881826223039,0.482243743671584,0.512729829061937
"Mau2",11725,1,1,0.492290507339715,0.492290507339715,0.514854405661019,0.483226377916872,0.522398888368154
"Sugp1",11726,1,1,0.494074460711269,0.494074460711269,0.515794121249235,0.495460078981951,0.527172820930252
"Tm6sf2",11727,1,1,0.499863785221791,0.499863785221791,0.497760372865211,0.497755958033174,0.501378686597107
"Hapln4",11728,1,1,0.5008575862427,0.5008575862427,0.496575995101041,0.494367340648196,0.497844486651373
"Ncan",11729,1,1,0.500093896713615,0.500093896713615,0.500093896713615,0.500093896713615,0.500093896713615
"Rfxank",11730,1,1,0.501033789908208,0.501033789908208,0.49691734367558,0.493705009205723,0.488930712118596
"Nr2c2ap",11731,1,1,0.47690696480136,0.47690696480136,0.505869497176294,0.472845935478739,0.474012645634461
"Borcs8",11732,1,1,0.554342512536867,0.554342512536867,0.461200544328775,0.485317079556998,0.525496164376804
"Mef2b",11733,1,1,0.500507844837505,0.500507844837505,0.494207579778186,0.493508664648202,0.499780633597264
"Tmem161a",11734,1,1,0.507420141490505,0.507420141490505,0.484602367830169,0.429102744481952,0.486347154732246
"Slc25a42",11735,1,1,0.498933882233428,0.498933882233428,0.49921820779751,0.494388619042174,0.494793090122756
"Armc6",11736,1,1,0.464431947332531,0.464431947332531,0.540898550724638,0.501149696153151,0.487081061970187
"Sugp2",11737,1,1,0.515656898153215,0.515656898153215,0.516099040620535,0.491152911112989,0.533941113111829
"Ddx49",11739,1,1,0.456499414899438,0.456499414899438,0.528798162890386,0.492560483503445,0.469039737549641
"Cers1",11741,1,1,0.500093896713615,0.500093896713615,0.499441722800572,0.499917405361691,0.498342583228501
"Upf1",11742,1,1,0.501586646798504,0.501586646798504,0.575795482071171,0.515186492528533,0.542440821226248
"Comp",11743,1,1,0.500507760650374,0.500507760650374,0.49964282506634,0.4992456279032,0.493651858612269
"Crtc1",11744,1,1,0.499570084383568,0.499570084383568,0.491518826971491,0.481673320307774,0.494359290594707
"Klhl26",11745,1,1,0.52505235036439,0.52505235036439,0.460441722800572,0.471944487255336,0.405369379147036
"Tmem59l",11746,1,1,0.501062525782309,0.501062525782309,0.501191998367014,0.499737881341467,0.448608240217722
"Kxd1",11749,1,1,0.539810635079655,0.539810635079655,0.475448023406137,0.449876439481695,0.580579824539766
"Fkbp8",11750,1,1,0.536706543304457,0.536706543304457,0.437959052867932,0.436985577425016,0.524177663764255
"Ell",11751,1,1,0.506141563467275,0.506141563467275,0.510355446689801,0.504579992012316,0.500732756139875
"Pgpep1",11755,1,1,0.523190074898484,0.523190074898484,0.442037123222426,0.463279839053145,0.52031507198474
"Gm11175",11758,1,1,0.499982825825244,0.499982825825244,0.499629475403144,0.499752182941158,0.499406033398288
"Gm16486",11759,1,1,0.5,0.5,0.5,0.5,0.5
"Gm3336",11760,1,1,0.5,0.5,0.5,0.5,0.5
"Pde4c",11761,1,1,0.5,0.5,0.5,0.5,0.5
"Rab3a",11762,1,1,0.504012386733231,0.504012386733231,0.507060937606314,0.510106524545555,0.437740887825494
