"","Top","p.value","FDR","summary.logFC","logFC.2","logFC.3","logFC.4","logFC.5"
"Tpgs1",11662,1,1,-0.11426537836281,-0.11426537836281,0.115109120347757,-0.210899331534804,0.146680551861465
"Gzmm",11663,1,1,-0.00353477663492411,-0.00353477663492411,-0.00204392191660062,0.000457266252416248,-0.0013511186016281
"Bsg",11664,1,1,-0.0177266564753422,-0.0177266564753422,-0.0590014854379044,-0.158330370608524,0.0567481177456535
"Hcn2",11665,1,1,0.00222915978149872,0.00222915978149872,0.00102324130007505,0.0125800920385146,0.00802806345608757
"Polrmt",11666,1,1,-0.047826293920608,-0.047826293920608,-0.0745786210293319,-0.0218259245901372,-0.0782313626475547
"Fgf22",11667,1,1,0.0116156682164709,0.0116156682164709,0.00974091538013738,0.0114629357601716,0.00531845503528385
"Rnf126",11668,1,1,-0.0674273787517368,-0.0674273787517368,0.0481467185538753,0.258086225574364,0.0561133667764651
"Prss57",11669,1,1,0.00887556865651531,0.00887556865651531,0.00982644884352381,0.00935693784222457,0.00929249747767348
"Palm",11670,1,1,0.130683270709436,0.130683270709436,0.123063852090595,0.115662049857877,0.161970324590649
"Misp",11671,1,1,0.000962545825721698,0.000962545825721698,0.00109237535170278,0.000432212134245053,0.00146754432735084
"Plppr3",11673,1,1,0.0583470178745353,0.0583470178745353,0.0591761172253198,0.0554708113261318,0.0617561192771527
"Gm17134",11674,1,1,0.00125471656631607,0.00125471656631607,-0.000385224116157277,0.00207072105815204,0.00123503109492899
"Prtn3",11675,1,1,0.00385506172216714,0.00385506172216714,0.00405638495048724,0.00269869253943567,0.00378473744385345
"Elane",11676,1,1,0,0,0,0,-0.000176456406240679
"Med16",11677,1,1,0.0109887076702284,0.0109887076702284,0.00700134825450743,0.0608969979315872,-0.00891447568558712
"Gm26602",11679,1,1,0.00579094231344788,0.00579094231344788,0.00634226296866298,0.00595228712966904,0.00601135982560348
"Kiss1r",11680,1,1,0.0636510520508536,0.0636510520508536,0.0637835156619218,0.0616709767809099,0.062811122581656
"Arid3a",11681,1,1,0.13088327773076,0.13088327773076,0.141003388242558,0.107916461560787,0.114947877921877
"Grin3b",11683,1,1,-0.0014786480970263,-0.0014786480970263,-0.00066088669191464,-0.00132551090454196,-0.000348680643586837
"Tmem259",11684,1,1,0.0127158292321869,0.0127158292321869,0.0548177223893622,0.137290618973749,0.13027650676253
"Abca7",11685,1,1,-0.0514139167634401,-0.0514139167634401,-0.020868149292911,-0.0643613917306731,0.013213046349896
"Arhgap45",11686,1,1,0.00342973048776297,0.00342973048776297,0.00356168678067709,0.00299344787798405,0.00267193311706839
"Polr2e",11687,1,1,-0.126136168893197,-0.126136168893197,-0.193547907204096,-0.0883493719049557,-0.16355725600385
"Sbno2",11688,1,1,-0.0196841267444365,-0.0196841267444365,-0.0577816826290052,-0.00558325854527641,0.0235001971537714
